type,name,category_or_section,status,path_or_need
missing,Final podcast schedule imported,,Added to Website,Imported from H O R I Z O N S x DoF _ Podcast Outreach.xlsx on 5 June 2026.
missing,Podcast guest list imported,,Added to Website,Scheduled podcast guests imported from H O R I Z O N S x DoF _ Podcast Outreach.xlsx. Confirmed-but-unscheduled guests documented separately.
missing,Podcast run sheet partially imported,,Partially Added,Recording slots and lunch support moments imported. Detailed presenter/technical/release notes still need follow-up.
missing,Presenter notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Guest arrival/holding notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Podcast technical notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Release forms,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Restaurant/meal schedules,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Final menus,,Added to Website,"HORIZONS_MENUS_WIP5.pdf is linked in Documents and canonical menu records are available in the Menus section. Remaining menu questions are location/link confirmations, not missing source file blockers."
missing,Dietary notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Venue maps,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Floor plans,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Seating plans,,Partially Added,HORIZONS Hall theatre and round-table layout PDFs are added. Reserved seat assignments and other seating plans still need confirmation.
missing,Stage layouts,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Tommy’s Tunnel access/load-in notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Confirmed nearest hospital / emergency medical route,,Needs Confirmation,Current site uses a Google Maps search fallback until the exact hospital is confirmed. Kelechi replaces Pili Lopez for this previous owner path; confirm exact ownership.
missing,Eve Dusek name / role confirmation,,File Needed,Added from Chris/Samuel review.
missing,Health & Safety contact ownership,,Needs Confirmation,Added from Chris/Samuel review. Kelechi replaces Pili Lopez for this previous owner path; confirm exact ownership.
missing,Venue map / exact location pins,,Needs Confirmation,Added from Chris/Samuel review. Kelechi replaces Pili Lopez for this previous owner path; confirm exact ownership.
missing,Weather location confirmation,,Needs Confirmation,Added from Chris/Samuel review. Kelechi replaces Pili Lopez for this previous owner path; confirm exact ownership.
missing,Display cabinet image,,Complete,Display cabinet reference image added from Swag Delivery Brief.
missing,Crew shirts data/image confirmation,,File Needed,Added from Chris/Samuel review.
missing,HORIZONS Hall / Studio / Podcast logos,,File Needed,Added from Chris/Samuel review.
missing,Wayfinding artwork files,,File Needed,Added from Chris/Samuel review.
missing,A1 easel board files,,File Needed,Added from Chris/Samuel review.
missing,3 totem exact locations,,File Needed,Added from Chris/Samuel review.
missing,2 wall foam board locations,,File Needed,Added from Chris/Samuel review.
missing,Staff list corrections,,File Needed,Added from Chris/Samuel review.
missing,Slack production routing approval,,File Needed,Added from Chris/Samuel review.
missing,Updated HORIZONS Hall Round Table Layout Needed from Kirsty / Clownfish,,Needed,"Please confirm final table count, seats per table, table numbering, and whether the uploaded 80-seat layout is final. Current working website plan uses 10 tables with 9 guest slots per table, but the uploaded layout shows seated capacity 80."
